"objectid","AGENCY","REGULATION","DAYS","HOURS","HRS_BEGIN","HRS_END","REGDETAILS","MODIFIED","EDITOR","RPPAREA1","RPPAREA2","RPPAREA3","FID_100","LENGTH_FT","CONFLICT","ENACTED","CREATED_US","CREATED_DA","LAST_EDITE","LAST_EDI_1","HRLIMIT","CREATED_USER","CREATED_DATE","LAST_EDITED_USER","LAST_EDITED_DATE","RPP_SYM","MTAB_DATE","MTAB_MOTION","MTAB_RESO_TEXT","SYM_RPP2","GLOBALID","EXCEPTIONS","FROM_TIME","TO_TIME","shape","data_as_of","analysis_neighborhood","supervisor_district","data_loaded_at"
"3584",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7565","226","0",,,,,,"2",,,"MTA","2017-05-12 17:13:25-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.464546786 37.786757081, -122.46376491 37.786792461))","2017 May 12 05:13:25 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"3428",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7514","346","0",,,,,,"2",,,"MTA","2017-05-12 17:13:37-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.464434844 37.782142816, -122.464366227 37.781194387))","2017 May 12 05:13:37 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"7185",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7453","75","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.471999501 37.778818403, -122.471740702 37.778831599))","2017 May 12 05:13:23 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"1099",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"6976","399","0",,,,,,"2",,,"MTA","2017-05-12 17:13:36-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.458521387 37.777973875, -122.457159471 37.778150035))","2017 May 12 05:13:36 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"1195",,"Time limited","M-F","700-1800","700","1800",,,,,,,"4002","961","0",,,,"mta","1442448000000","3",,,"MTA","2017-05-12 17:13:27-07:00",,,,,,,"None. Regulation applies to all vehicles.","7am","6pm","MULTILINESTRING ((-122.459399682 37.773241857, -122.459943407 37.773156988, -122.460467543 37.773073204, -122.460717418 37.773004642, -122.460964551 37.772904979, -122.461110311 37.77277188, -122.461219832 37.772562661, -122.461315245 37.772416731, -122.461479222 37.772266993, -122.461705394 37.772152867, -122.461921768 37.772039284, -122.462038138 37.771907814))","2017 May 12 05:13:27 PM","Golden Gate Park","1","2025 May 03 10:16:38 AM"
"1223",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7494","509","0",,,,,,"2",,,"MTA","2017-05-12 17:13:02-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.467825354 37.784555398, -122.46772428 37.78315927, -122.467724279 37.783159256))","2017 May 12 05:13:02 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
"258",,"Time limited","M-F","800-1800","800","1800",,,,"L",,,"7006","402","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","lapis lazuli, 2.5 pt, no dash",,,,"lapis lazuli, 2.5 pt, no dash | 2, M-F, 800-1800",,"Yes. RPP holders are exempt from time limits.","8am","6pm","MULTILINESTRING ((-122.456627546 37.776888302, -122.455253055 37.777058953))","2017 May 12 05:13:23 PM","Lone Mountain/USF","1","2025 May 03 10:16:38 AM"
"110",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7452","71","0",,,,,,"2",,,"MTA","2017-05-12 17:12:58-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472589195 37.778791707, -122.472343755 37.778805512))","2017 May 12 05:12:58 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"1773",,"Time limited","M-F","900-1800","900","1800",,,,"N",,,"7433","586","0",,,,,,"2",,,"MTA","2017-05-12 17:13:12-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.472925326 37.782699152, -122.473041042 37.784295994, -122.473041042 37.784296008, -122.473041576 37.784305473))","2017 May 12 05:13:12 PM","Outer Richmond","1","2025 May 03 10:16:38 AM"
"741",,"Time limited","M-F","900-1800","900","1800",,"2015-01-07 16:00:00-08:00","Mark C. Dreger","F","N",,"5534","140","0",,,,,,"2",,,"MTA","2017-05-12 17:13:23-07:00","black, 2.5 pt, no dash",,,,"black, 2.5 pt, no dash | 2, M-F, 900-1800",,"Yes. RPP holders are exempt from time limits.","9am","6pm","MULTILINESTRING ((-122.459277688 37.785548842, -122.459249849 37.785165023))","2017 May 12 05:13:23 PM","Inner Richmond","1","2025 May 03 10:16:38 AM"
